time,name,text,role,target,hate_speech,verbal_abuse,humor
67,[11:40:09], <Pierre-Soutien-Harceleur>, on va faire desmontages tu as te retrouver à poil sur internet ptddrrrr,bully_support,victim,no,threat,yes
68,[11:40:20], <Théo-Conciliateur>, nicolas tu vas trop loin la,conciliator,none,no,none,no
69,[11:40:27], <Fatima-Victime>, tkt tu vas retrouver en prison,victim,none,no,none,no
70,[11:40:28], <Pauline-Harceleur>, theo ftg,bully,conciliator,no,aggression-other,no
71,[11:40:35], <Teresa-Soutien-Victime>, faites de toute facon on n'a toute les preuves,victim_support,none,no,none,no
72,[11:40:35], <Pierre-Soutien-Harceleur>, rooohh theo c'est toi la,bully_support,none,no,none,no
73,[11:40:42], <Teresa-Soutien-Victime>, elle va porter plainte,victim_support,none,no,none,no
74,[11:40:47], <Théo-Conciliateur>, quelle preuves ?,conciliator,none,no,none,no
75,[11:40:48], <Teresa-Soutien-Victime>, tampis pour vous,victim_support,none,no,none,no
76,[11:40:52], <Nicolas-Soutien-Harceleur>, tg theo la veriter blaisse tu te sens mal,bully_support,conciliator,no,aggression-other,no
77,[11:40:52], <Pauline-Harceleur>, tg toi,bully,victim_support,no,aggression-other,no
78,[11:40:55], <Fatima-Victime>, on a les screen,victim,none,no,none,no
79,[11:40:57], <Pierre-Soutien-Harceleur>, teresa les preuves disparaissent comme fatima va disparaitre,bully_support,victim_support,no,threat,no
80,[11:41:05], <Teresa-Soutien-Victime>, t'es entrain de parler cave,victim_support,none,no,none,no
81,[11:41:07], <Pauline-Harceleur>, nous aussi les screen quan tu montre ton cu,bully,none,no,none,no
82,[11:41:17], <Teresa-Soutien-Victime>, depuis talleur tu l'insulte tu parle de montage,victim_support,none,no,none,no
83,[11:41:25], <Nicolas-Soutien-Harceleur>, mes les toi ou je pense tes screen,bully_support,victim,yes,name_calling,no
84,[11:41:31], <Pierre-Soutien-Harceleur>, et alors? je peux tjrs nier,bully_support,none,no,none,no
85,[11:41:46], <Teresa-Soutien-Victime>, oui tktt chez la police,victim_support,none,no,none,no
86,[11:41:50], <Pierre-Soutien-Harceleur>, rien prouve que c'est moi ;D,bully_support,none,no,none,no
87,[11:41:57], <Fatima-Victime>, tu crois ils vont te croire,victim,none,no,none,no
88,[11:41:59], <Teresa-Soutien-Victime>, continuer de faire les malins,victim_support,none,no,none,no
89,[11:42:02], <Fatima-Victime>, y a ton nom,victim,none,no,none,no
90,[11:42:05], <Teresa-Soutien-Victime>, si si,victim_support,none,no,none,no
91,[11:42:06], <Nicolas-Soutien-Harceleur>, va chez la police on tenmene meme si tu veux,bully_support,none,no,none,no
92,[11:42:09], <Pierre-Soutien-Harceleur>, teresa je vais pas le répeter tu n'y iras pas chez la police,bully_support,none,no,none,no
93,[11:42:11], <Pauline-Harceleur>, on t'accompagne porter plainte stuveu,bully,none,no,none,no
94,[11:42:14], <Teresa-Soutien-Victime>, pas de soucis viens,victim_support,none,no,none,no
95,[11:42:20], <Nicolas-Soutien-Harceleur>, pour 3 messages qui represente la veriter,bully_support,none,no,none,no
96,[11:42:25], <Teresa-Soutien-Victime>, sa sera plus rapide,victim_support,none,no,none,no
97,[11:42:27], <Nicolas-Soutien-Harceleur>, a notre age une amande *et cest regles,bully_support,none,no,none,no
98,[11:42:35], <Teresa-Soutien-Victime>, alors nn,victim_support,none,no,none,no
99,[11:42:41], <Théo-Conciliateur>, mais cest ridicule,conciliator,none,no,none,no
100,[11:42:41], <Nicolas-Soutien-Harceleur>, donc chute merci,bully_support,none,no,none,no
101,[11:42:44], <Teresa-Soutien-Victime>, sa a bcp evolué depuis,victim_support,none,no,none,no
102,[11:42:55], <Nicolas-Soutien-Harceleur>, ah et tu croit quoi,bully_support,victim_support,no,none,no
103,[11:42:55], <Pierre-Soutien-Harceleur>, on va s'en sortir triomphant on va expulser tous les arabes comme toi,bully_support,victim,yes,aggression-other,no
104,[11:43:01], <Théo-Conciliateur>, regler vos problemes comme des adultes au lieu de parler pour rien la,conciliator,none,no,none,no
105,[11:43:05], <Nicolas-Soutien-Harceleur>, c la prison pour 4 message,bully_support,none,no,none,no
106,[11:43:06], <Pauline-Harceleur>, bon fatima retournes chez tamr pleurer,bully,victim,no,aggression-other,no
107,[11:43:10], <Pierre-Soutien-Harceleur>, theo ftg vrm tu sers à r,bully_support,conciliator,no,aggression-other,no
108,[11:43:12], <Teresa-Soutien-Victime>, t tellement peu cultiver que t meme pas au courant des consequences de sque tu fais,victim_support,bully_support,no,denigration,no
109,[11:43:13], <Nicolas-Soutien-Harceleur>, quand t es meme pas majeurs*,bully_support,none,no,none,no
110,[11:43:22], <Pauline-Harceleur>, avec ton accent la,bully,victim,yes,denigration,no
111,[11:43:31], <Pierre-Soutien-Harceleur>, la vie t'es explosé la tu peux gérer degun,bully_support,conciliator,no,denigration,no
112,[11:43:36], <Fatima-Victime>, jvais me suicider tu vas voir si vous allez rien avoir,victim,none,no,none,no
113,[11:43:40], <Pauline-Harceleur>, enfin,bully,none,no,none,no
114,[11:43:51], <Nicolas-Soutien-Harceleur>, ecrit francais et tu viendra me parler culture' mdrr,bully_support,victim_support,no,denigration,yes
115,[11:43:53], <Pierre-Soutien-Harceleur>, teresa tu parles de culture mais chez toi y'a même pas accès à l'eau alors à l'ecole........ et ça se fait ressentir,bully_support,victim_support,yes,denigration,no
116,[11:44:03], <Nicolas-Soutien-Harceleur>, voila sucide toi donc teresa ta bien ouvert ta guele pour rien,bully_support,victim/victim_support,no,aggression-other,no
117,[11:44:18], <Pierre-Soutien-Harceleur>, crève,bully_support,victim,no,aggression-other,no
118,[11:44:37], <Fatima-Victime>, vous irez en efer enfer*,victim,bully/bully_support,no,aggression-other,no
119,[11:44:49], <Pierre-Soutien-Harceleur>, les blancs vont pas en enfer,bully_support,none,yes,aggression-other,no
120,[11:44:49], <Théo-Conciliateur>, vs etes serieux ? vs aimerais quon vs dises sa ?,conciliator,none,no,none,no
121,[11:44:54], <Pierre-Soutien-Harceleur>, on est purs nous,bully_support,none,yes,denigration,no
122,[11:45:12], <Teresa-Soutien-Victime>, oe pure merde,victim_support,none,no,denigration,no
123,[11:45:28], <Pierre-Soutien-Harceleur>, de la même couleur ça vous fait un point commun,bully_support,none,yes,denigration,no
124,[11:45:39], <Nicolas-Soutien-Harceleur>, wouah le niveauxxxxxxx,bully_support,none,no,none,no
125,[11:45:43], <Pierre-Soutien-Harceleur>, y'a l'odeur aussi,bully_support,none,yes,denigration,no
126,[11:45:54], <Pauline-Harceleur>, avec vos habits du bled la cassez vous,bully,none,yes,denigration,no
127,[11:45:59], <Nicolas-Soutien-Harceleur>, mdrr c clair l odeur infecte,bully_support,none,yes,denigration,yes
128,[11:46:04], <Teresa-Soutien-Victime>, oo tg pierre me fais pas chier jmen blc de ta vie franchement,victim_support,bully_support,no,aggression-other,no
129,[11:46:21], <Pauline-Harceleur>, teresa parle bien ftg,bully,victim_support,no,aggression-other,no
130,[11:46:27], <Pierre-Soutien-Harceleur>, teresa fais comme fatima ferme la,bully_support,victim_support,no,aggression-other,no
131,[11:46:39], <Nicolas-Soutien-Harceleur>, alors pk tu lui envoy un message si tu ten fou bien dit,bully_support,none,no,none,no
132,[11:46:55], <Teresa-Soutien-Victime>, pauline et pierre 2 grosses merdes qui parlent,victim_support,bully/bully_support,no,name_calling,no
133,[11:46:59], <Nicolas-Soutien-Harceleur>, bon la phto va etres poster,bully_support,none,no,none,no
134,[11:47:00], <Pauline-Harceleur>, grv teresa t autant inutile que Mbendib,bully,victim_support,no,denigration,no
135,[11:47:01], <Nicolas-Soutien-Harceleur>, quand,bully_support,none,no,none,no
136,[11:47:13], <Fatima-Victime>, quand tu fermeras ta gueule,victim,bully_support,no,aggression-other,no
137,[11:47:15], <Teresa-Soutien-Victime>, poste la,victim_support,none,no,none,no
138,[11:47:16], <Nicolas-Soutien-Harceleur>, plus une troisieme teresa,bully_support,none,no,none,no
139,[11:47:22], <Pierre-Soutien-Harceleur>, oyé tous repostez en story les photos de la negre,bully_support,victim_support,yes,aggression-other,no
140,[11:47:22], <Nicolas-Soutien-Harceleur>, +famtima 4,bully_support,none,no,none,no
141,[11:47:24], <Teresa-Soutien-Victime>, et tu venira en prison,victim_support,none,no,none,no
142,[11:47:32], <Pierre-Soutien-Harceleur>, on va bien se marrer,bully_support,none,no,none,no
143,[11:47:32], <Teresa-Soutien-Victime>, tu vas rien comprendre,victim_support,none,no,none,no
144,[11:47:56], <Nicolas-Soutien-Harceleur>, parle pas de prison quand tu coco pas mdrrr,bully_support,none,no,none,yes
145,[11:48:03], <Pierre-Soutien-Harceleur>, demain on imprime on affiche?,bully_support,none,no,none,no
146,[11:48:06], <Pauline-Harceleur>, fatima t une grosse pute a part envoyez des nudes tu f rien,bully,victim,no,name_calling,no
147,[11:48:06], <Nicolas-Soutien-Harceleur>, si on a compris tkt,bully_support,none,no,none,no
148,[11:48:17], <Teresa-Soutien-Victime>, mais mdrr pauline elle a tourné dans toute la france,victim_support,bully,no,denigration,yes
149,[11:48:31], <Nicolas-Soutien-Harceleur>, mdrrr,bully_support,none,no,none,yes
150,[11:48:42], <Pauline-Harceleur>, normal j'suis une star,bully,none,no,none,yes
151,[11:48:42], <Pierre-Soutien-Harceleur>, sa chatte aussi,bully_support,none,no,none,no
152,[11:48:45], <Théo-Conciliateur>, bon cest bon vs tourner en rond la depuis taleur,conciliator,none,no,none,no
153,[11:48:46], <Pierre-Soutien-Harceleur>, pour avoir les papiers,bully_support,none,no,none,no
154,[11:48:47], <Teresa-Soutien-Victime>, et elle ose ouvrir sa bouche de suceuse,victim_support,bully,no,aggression-other,no
155,[11:48:50], <Pierre-Soutien-Harceleur>, sa mère aussi,bully_support,victim,no,aggression-other,no
156,[11:48:51], <Fatima-Victime>, t trop jalouse qu aucun mec te trouves belle,victim,bully,no,denigration,no
157,[11:48:59], <Théo-Conciliateur>, a part insulter vs faites rien d'autres,conciliator,none,no,none,no
158,[11:49:04], <Nicolas-Soutien-Harceleur>," c, mdrr elle t belle $*",bully_support,none,no,none,yes
159,[11:49:05], <Teresa-Soutien-Victime>, oe grave il l'utilise c tout,victim_support,none,no,none,no
160,[11:49:12], <Nicolas-Soutien-Harceleur>, toi eclater apr contre,bully_support,none,no,none,no
161,[11:49:13], <Fatima-Victime>, tu sais parler nicolas ? mdr,victim,none,no,none,yes
162,[11:49:24], <Nicolas-Soutien-Harceleur>, nan pas le time bb,bully_support,none,no,none,no
163,[11:49:27], <Fatima-Victime>, apres cest moi qu est pas française,victim,none,no,none,no
164,[11:49:27], <Teresa-Soutien-Victime>, comme une prostitué qu'elle fait bien mdrr,victim_support,bully,no,denigration,yes
165,[11:49:32], <Nicolas-Soutien-Harceleur>, pour toi c sa et pas plus,bully_support,none,no,none,no
166,[11:49:33], <Théo-Conciliateur>, vos geule,conciliator,bully/bully_support,no,aggression-other,no
167,[11:49:36], <Fatima-Victime>, vas apprendre la langue de ton pays déjà,victim,bully_support,yes,denigration,no
168,[11:49:39], <Pierre-Soutien-Harceleur>, ptdr maiis fatima t'as vu ton orthographe,bully_support,none,no,denigration,yes
169,[11:49:45], <Pauline-Harceleur>, t dans notre pays et tu parle,bully,victim,yes,denigration,no
170,[11:49:46], <Pierre-Soutien-Harceleur>, parle pas,bully_support,none,no,none,no
171,[11:49:56], <Nicolas-Soutien-Harceleur>, elle insulte sa pote mtn,bully_support,none,no,none,no
172,[11:50:01], <Théo-Conciliateur>, vous etes des gros gamins,conciliator,bully/bully_support,no,denigration,no
173,[11:50:14], <Pierre-Soutien-Harceleur>, non patriotes,bully_support,none,no,none,no
174,[11:50:18], <Nicolas-Soutien-Harceleur>, moi c mon pays o moinh,bully_support,victim,yes,denigration,no
175,[11:50:23], <Pierre-Soutien-Harceleur>, et tout le monde devrait etre comme ça,bully_support,none,no,none,no
176,[11:50:32], <Nicolas-Soutien-Harceleur>, donc je me premer cque je veux par apport atoi,bully_support,none,no,none,no
177,[11:50:36], <Teresa-Soutien-Victime>, ooo nicolas tg,victim_support,bully_support,no,aggression-other,no
178,[11:50:43], <Nicolas-Soutien-Harceleur>, bisoussssssssssssssssssssssssssss,bully_support,none,no,none,no
179,[11:50:44], <Pauline-Harceleur>, bon fatima on va te ntm tkt,bully,victim,no,threat,no
180,[11:50:58], <Fatima-Victime>, ca veut rien dire ta phrase,victim,none,no,none,no
181,[11:51:13], <Pierre-Soutien-Harceleur>, tu peux pas savoir fat fat,bully_support,none,no,none,no
182,[11:51:20], <Teresa-Soutien-Victime>, bref bisous de nous les jaloux,victim_support,none,no,none,no
183,[11:51:22], <Pierre-Soutien-Harceleur>, meme ton soutien se casse t'es seule,bully_support,none,no,none,no
184,[11:51:30], <Pauline-Harceleur>, javoue tu sais pas tu parle meme pas francais,bully,victim,yes,denigration,no
185,[11:51:32], <Théo-Conciliateur>, bon vs voulez pas vs reconcilier jy peut rien,conciliator,none,no,none,no
186,[11:51:37], <Pierre-Soutien-Harceleur>, et nous on te démarre,bully_support,none,no,none,no
187,[11:51:40], <Théo-Conciliateur>, ciao ciao,conciliator,none,no,none,no
188,[11:51:44], <Pierre-Soutien-Harceleur>, mdrrrrr theo qui abandonne,bully_support,none,no,none,yes
189,[11:51:57], <Fatima-Victime>, vas y ciao les ploucs,victim,bully/bully_support,no,name_calling,no
190,[11:51:57], <Pierre-Soutien-Harceleur>," tkt t'auras son cul quand meme vu comment elle l'expose ""les ploucs"" mdrrrrrrrrrrrrrrrr",bully_support,none,no,aggression-other,yes
191,[11:52:19], <Fatima-Victime>, retournez dans votre ferme traire vos meres,victim,bully/bully_support,no,aggression-other,no
192,[11:52:21], <Pauline-Harceleur>, si l'unitilité etait une personne,bully,victim,no,denigration,no
193,[11:52:30], <Teresa-Soutien-Victime>, moi et fatima on n'a pas votre time dsl,victim_support,none,no,none,no
194,[11:52:31], <Pierre-Soutien-Harceleur>, t'as cru t'as dead ça?,bully_support,none,no,none,no
195,[11:52:43], <Teresa-Soutien-Victime>, oe exactement,victim_support,none,no,none,no
196,[11:52:45], <Pierre-Soutien-Harceleur>, ptdrrrr punshline éclatées cousine oula non pas cousine esclave,bully_support,victim_support,yes,denigration,yes
197,[11:52:54], <Teresa-Soutien-Victime>, <3,victim_support,none,no,none,no
198,[11:52:58], <Pierre-Soutien-Harceleur>, comme au bon vieux temps,bully_support,none,no,none,no
199,[11:52:59], <Pauline-Harceleur>, elle c cru sur skyrock la :b,bully,none,no,none,no
200,[11:53:15], <Théo-Conciliateur>, bite,conciliator,none,no,none,no
201,[11:53:27], <Pierre-Soutien-Harceleur>, ok,bully_support,none,no,none,no
202,[11:53:29], <Teresa-Soutien-Victime>, tete qu'elle a parle ps avk moi grosse pute,victim_support,bully,no,name_calling,no
0,11:09:11 AM,FatimaVictime, nicolas j'ai pris des screens fais gaffe à toi,victim,bully_support,no,threat,no
1,11:09:11 AM,Nicolas90, j'attends ta reponse,bully_support,none,no,none,no
2,11:09:12 AM,paulineee, valeur de notre pays,bully,none,no,none,no
3,11:09:16 AM,Nicolas90, ah non,bully_support,none,no,none,no
4,11:09:18 AM,pierre63, venez on va la taper sur MSN,bully_support,victim,no,aggression-other,no
5,11:09:24 AM,Nicolas90, t'as elle a screen,bully_support,none,no,none,no
6,11:09:30 AM,paulineee, en mode on a peur bahaha gros lol,bully,none,no,none,yes
7,11:09:52 AM,Nicolas90, Sur le Coran je suis plus fort que messi,bully_support,none,no,none,no
8,11:10:00 AM,paulineee, genie,bully,none,no,none,no
9,11:10:00 AM,Nicolas90, allez ciao,bully_support,none,no,none,no
10,11:10:04 AM,FatimaVictime, ouais ce que vous faites ça peut vous emmener en prison ;),victim,none,no,none,no
11,11:10:14 AM,julie, vasi allez vous tuer elle a rien fait,victim_support,bully/bully_support,no,aggression-other,no
12,11:10:20 AM,Nicolas90, tkt pas suffit de connaitre les juges on passe sous le bureau et c'est carré,bully_support,none,no,none,no
13,11:10:40 AM,theo70, ptdddrr mais,conciliator,none,no,none,yes
14,11:10:40 AM,julie, allez sous un pont les gens jaloux,victim_support,bully/bully_support,no,aggression-other,no
15,11:10:40 AM,FatimaVictime, tu vois c'est toi la pute maintenant nicolas,victim,bully_support,no,name_calling,no
16,11:10:44 AM,paulineee, ta photo elle va faire un voyage,bully,none,no,none,no
17,11:10:48 AM,Nicolas90, fatou t'es pas francaise,bully_support,victim,yes,denigration,no
18,11:10:54 AM,paulineee, comme toi a ton pays,bully,none,no,none,no
19,11:10:57 AM,Nicolas90, t'as les nerfs,bully_support,none,no,none,no
20,11:11:15 AM,FatimaVictime, vous me fatiguez laissez moi vivre ma vie,victim,none,no,none,no
21,11:11:15 AM,julie, vous etes des rageux,victim_support,none,no,none,no
22,11:11:25 AM,julie, laisser la,victim_support,none,no,none,no
23,11:11:26 AM,paulineee, vie loin alors,bully,victim,no,blaming,no
24,11:11:27 AM,julie, merde,victim_support,none,no,none,no
25,11:11:29 AM,theo70,  meuf calcule pas c'est bon,conciliator,none,no,none,no
26,11:11:33 AM,paulineee, c toi qui fatigue meuf,bully,victim,no,aggression-other,no
27,11:11:50 AM,Teresa, tg,victim_support,bully,no,aggression-other,no
28,11:11:51 AM,theo70, pauline ça y est arrete vdm,conciliator,none,no,none,no
29,11:12:00 AM,paulineee, tu es ??,bully,none,no,none,no
30,11:12:05 AM,FatimaVictime, si t'avais pas envoyé ma photo on en serait pas là pauline,victim,none,no,none,no
31,11:12:08 AM,julie,  masi vous etes qui fermer la,victim_support,bully/bully_support,no,aggression-other,no
32,11:12:12 AM,theo70, mddrr vas-y arrête,conciliator,none,no,none,yes
33,11:12:17 AM,julie, laisser la,victim_support,none,no,none,no
34,11:12:21 AM,theo70, t'es ma pote mais la t'abuses,conciliator,none,no,none,no
35,11:12:21 AM,paulineee, qui me l'interdit encore une fois,bully,none,no,none,no
36,11:12:28 AM,julie,  ya pas a pas avoir de vie comme ca,victim_support,none,no,none,no
37,11:12:37 AM,theo70, ouais tu perds ton temps en vrai,conciliator,none,no,none,no
38,11:12:43 AM,julie, sors fait un truc remet toi en question seule misk,victim_support,none,no,none,no
39,11:12:48 AM,paulineee, vous comprenez rien a la vie c chaud,bully,victim/victim_support,no,aggression-other,no
40,11:12:54 AM,Teresa, c toi lio,victim_support,none,no,none,no
41,11:12:55 AM,julie, tu fais pitier,victim_support,none,no,aggression-other,no
42,11:12:57 AM,Teresa, lol,victim_support,none,no,none,yes
43,11:13:08 AM,theo70, vas-y c'est bon ca te sert a rien d'avoir la haine comme ça,conciliator,none,no,none,no
44,11:13:11 AM,FatimaVictime, tas aucun argument pauline,victim,none,no,none,no
45,11:13:13 AM,theo70, j'te parle sérieux,conciliator,none,no,none,no
46,11:13:38 AM,paulineee, tkt pas pour moi,bully,none,no,none,no
47,11:13:40 AM,FatimaVictime, tu vois bien que tout le monde pense que ça craint ce que t'as fait pauline,victim,none,no,none,no
48,11:13:51 AM,paulineee, va dodo c mieux,bully,victim,no,aggression-other,no
49,11:14:10 AM,theo70, toi aussi jppp laisse la,conciliator,none,no,none,no
50,11:14:37 AM,Nicolas87, salut salut,bully_support,none,no,none,no
51,11:14:40 AM,paulineee, ta gacher le voyage en plus de tout,bully,victim,no,blaming,no
52,11:14:46 AM,Nicolas87, je suis de retour les suceurs,bully_support,none,no,name_calling,no
53,11:14:55 AM,FatimaVictime, d'où j'ai gâché c'est toi qui gache tout,victim,bully,no,aggression-other,no
54,11:15:03 AM,theo70, viens on revise le mana c mieux lol,conciliator,none,no,none,yes
55,11:15:07 AM,paulineee, ta pas ta place,bully,victim,no,denigration,no
56,11:15:07 AM,Nicolas87, enfant gacher,bully_support,victim,no,denigration,no
57,11:15:08 AM,theo70, tu perds ton temps,conciliator,none,no,none,no
58,11:15:15 AM,FatimaVictime, theo t'as raison...,victim,none,no,none,no
59,11:15:15 AM,paulineee, toi aussi,bully,none,no,none,no
60,11:15:20 AM,pierre63, jgvhuv l;g,bully_support,none,no,none,no
61,11:15:40 AM,Nicolas87, combien?,bully_support,none,no,none,no
62,11:15:46 AM,julie," srx la on va parler du faites que vous etes 3 a pas avoir de vies et vous vous dechainez sur une meuf qui a rien demander sur c'est origine qui a les meme droits que vous et qui esseye juste de pas creuver avec faut insulte allez tous passer sous un pont , et vous irrai mieux",victim_support,bully/bully_support,no,aggression-other,no
63,11:16:01 AM,Teresa, bien sur julie,victim_support,none,no,none,no
64,11:16:05 AM,theo70, julie jtm,conciliator,none,no,none,no
